# filename,head,shemagh,right_place
186.jpg,1,0,0
187.jpg,1,1,1
188.jpg,0,0,0
189.jpg,1,0,0
190.jpg,0,0,0
191.jpg,1,1,1
192.jpg,0,0,0
193.jpg,0,0,0
194.jpg,1,1,0
195.jpg,1,0,0
196.jpg,1,0,0
197.jpg,1,1,0
198.jpg,0,0,0
199.jpg,1,0,0
200.jpg,0,0,0
201.jpg,0,0,0
202.jpg,1,1,1
203.jpg,0,0,0
204.jpg,0,0,0
205.jpg,1,0,0
206.jpg,1,0,0
207.jpg,1,0,0
208.jpg,1,0,0
209.jpg,1,0,0
210.jpg,0,0,0
211.jpg,0,1,0
212.jpg,0,1,0
213.jpg,1,0,0
214.jpg,1,0,0
215.jpg,1,1,1
216.jpg,0,0,0
217.jpg,1,1,1
218.jpg,0,0,0
219.jpg,1,0,0
220.jpg,1,0,0
221.jpg,1,1,1
222.jpg,1,1,1
223.jpg,0,1,0
224.jpg,1,1,1
225.jpg,1,1,1
226.jpg,1,1,0
227.jpg,1,1,1
228.jpg,0,1,0
229.jpg,0,0,0
230.jpg,0,0,0
231.jpg,1,0,0
232.jpg,1,1,1
233.jpg,1,1,1
234.jpg,1,1,1
235.jpg,1,1,1
236.jpg,1,1,1
237.jpg,0,1,0
238.jpg,1,1,1
239.jpg,1,0,0
240.jpg,1,0,0
241.jpg,1,0,0
242.jpg,1,1,1
243.jpg,1,0,0
244.jpg,1,0,0
245.jpg,1,1,1
246.jpg,1,0,0
247.jpg,1,1,1
248.jpg,0,0,0
249.jpg,0,0,0
250.jpg,1,0,0
251.jpg,0,1,0
252.jpg,1,1,1
253.jpg,1,0,0
254.jpg,1,0,0
255.jpg,0,0,0
256.jpg,1,1,1
257.jpg,1,0,0
258.jpg,0,1,0
259.jpg,0,0,0
260.jpg,1,0,0
261.jpg,1,1,1
262.jpg,0,1,0
263.jpg,1,0,0
264.jpg,0,0,0
265.jpg,1,1,1
266.jpg,1,0,0
267.jpg,1,1,1
268.jpg,0,0,0
269.jpg,1,1,1
270.jpg,0,0,0
271.jpg,0,1,0
272.jpg,0,0,0
273.jpg,1,1,1
274.jpg,1,0,0
275.jpg,0,0,0
276.jpg,0,0,0
277.jpg,1,1,1
278.jpg,1,0,0
279.jpg,0,0,0
280.jpg,0,0,0
281.jpg,1,0,0
282.jpg,1,0,0
283.jpg,1,0,0
284.jpg,1,0,0
285.jpg,1,1,1
286.jpg,0,0,0
287.jpg,0,0,0
288.jpg,1,1,1
289.jpg,1,1,1
290.jpg,0,1,0
291.jpg,1,0,0
292.jpg,1,0,0
293.jpg,1,0,0
294.jpg,1,0,0
295.jpg,1,1,1
296.jpg,0,0,0
297.jpg,1,0,0
298.jpg,1,0,0
299.jpg,0,0,0
300.jpg,1,0,0
301.jpg,1,0,0
302.jpg,1,1,0
303.jpg,0,0,0
304.jpg,0,1,0
305.jpg,1,1,1
306.jpg,0,1,0
307.jpg,1,0,0
308.jpg,1,1,1
309.jpg,0,1,0
310.jpg,0,1,0
311.jpg,0,1,0
312.jpg,1,1,1
313.jpg,1,0,0
314.jpg,0,0,0
315.jpg,1,0,0
316.jpg,1,1,1
317.jpg,1,1,1
318.jpg,1,0,0
319.jpg,1,1,1
320.jpg,0,0,0
321.jpg,1,1,1
322.jpg,1,0,0
323.jpg,0,0,0
324.jpg,0,0,0
325.jpg,1,0,0
326.jpg,1,0,0
327.jpg,1,1,1
328.jpg,1,1,1
329.jpg,1,0,0
330.jpg,1,1,1
331.jpg,1,1,1
332.jpg,0,0,0
333.jpg,1,1,1
334.jpg,0,0,0
335.jpg,1,0,0
336.jpg,1,0,0
337.jpg,0,0,0
338.jpg,1,1,1
339.jpg,1,0,0
340.jpg,0,0,0
341.jpg,1,1,1
342.jpg,0,1,0
343.jpg,0,1,0
344.jpg,0,1,0
345.jpg,0,0,0
346.jpg,1,0,0
347.jpg,1,0,0
348.jpg,0,1,0
349.jpg,1,1,1
350.jpg,1,1,1
351.jpg,1,0,0
352.jpg,1,0,0
353.jpg,1,0,0
354.jpg,1,1,0
355.jpg,1,1,0
356.jpg,1,0,0
357.jpg,1,0,0
358.jpg,1,1,0
359.jpg,0,0,0
360.jpg,1,0,0
361.jpg,0,0,0
362.jpg,1,1,1
363.jpg,1,0,0
364.jpg,1,1,1
365.jpg,0,1,0
366.jpg,0,0,0
367.jpg,1,0,0
368.jpg,0,0,0
369.jpg,1,0,0
370.jpg,0,1,0
371.jpg,1,0,0
372.jpg,0,0,0
373.jpg,0,0,0
374.jpg,0,0,0
375.jpg,1,1,1
376.jpg,1,0,0
377.jpg,0,0,0
378.jpg,1,1,0
379.jpg,1,0,0
380.jpg,1,1,1
381.jpg,1,0,0
382.jpg,1,0,0
383.jpg,1,1,1
384.jpg,1,1,1
385.jpg,1,0,0
386.jpg,1,0,0
387.jpg,1,0,0
388.jpg,1,1,1
389.jpg,0,0,0
390.jpg,1,1,1
391.jpg,1,1,1
392.jpg,1,0,0
393.jpg,1,0,0
394.jpg,0,0,0
395.jpg,1,1,1
396.jpg,1,0,0
397.jpg,1,1,1
398.jpg,1,1,1
399.jpg,1,0,0
400.jpg,0,1,0
401.jpg,1,0,0
402.jpg,1,1,1
403.jpg,0,1,0
404.jpg,1,1,0
405.jpg,0,0,0
406.jpg,1,0,0
407.jpg,0,0,0
408.jpg,1,0,0
409.jpg,1,0,0
410.jpg,1,0,0
411.jpg,1,1,1
412.jpg,0,0,0
413.jpg,1,0,0
414.jpg,1,0,0
415.jpg,1,0,0
416.jpg,0,1,0
417.jpg,0,0,0
418.jpg,1,0,0
419.jpg,1,1,1
420.jpg,0,0,0
421.jpg,0,0,0
422.jpg,0,0,0
423.jpg,1,0,0
424.jpg,1,0,0
425.jpg,1,0,0
426.jpg,1,0,0
427.jpg,0,0,0
428.jpg,0,1,0
429.jpg,1,0,0
430.jpg,1,0,0
431.jpg,1,1,1
432.jpg,1,0,0
433.jpg,1,0,0
434.jpg,0,0,0
435.jpg,1,1,0
436.jpg,1,1,1
437.jpg,0,0,0
438.jpg,1,0,0
439.jpg,1,1,1
440.jpg,1,1,1
441.jpg,0,0,0
442.jpg,0,0,0
443.jpg,1,1,1
444.jpg,1,0,0
445.jpg,1,0,0
446.jpg,0,0,0
447.jpg,0,0,0
448.jpg,0,0,0
449.jpg,1,1,1
450.jpg,0,0,0
451.jpg,0,1,0
452.jpg,1,1,1
453.jpg,1,0,0
454.jpg,1,1,1
455.jpg,1,1,1
456.jpg,1,1,1
457.jpg,1,0,0
458.jpg,1,1,1
459.jpg,0,0,0
460.jpg,1,1,1
461.jpg,1,0,0
462.jpg,1,0,0
463.jpg,0,1,0
464.jpg,0,0,0
465.jpg,0,0,0
466.jpg,1,0,0
467.jpg,0,1,0
468.jpg,1,1,1
469.jpg,1,0,0
470.jpg,0,0,0
471.jpg,1,1,1
472.jpg,0,0,0
473.jpg,0,0,0
474.jpg,1,0,0
475.jpg,1,1,1
476.jpg,1,1,1
477.jpg,1,0,0
478.jpg,1,0,0
479.jpg,0,0,0
480.jpg,0,0,0
481.jpg,1,1,1
482.jpg,0,0,0
483.jpg,0,1,0
484.jpg,0,0,0
485.jpg,1,0,0
486.jpg,1,1,1
487.jpg,1,0,0
488.jpg,1,1,1
489.jpg,0,0,0
490.jpg,1,1,1
491.jpg,1,1,1
492.jpg,1,0,0
493.jpg,1,0,0
494.jpg,0,0,0
495.jpg,1,0,0
496.jpg,1,0,0
497.jpg,0,1,0
498.jpg,1,0,0
499.jpg,0,0,0
500.jpg,1,1,0
501.jpg,1,1,1
502.jpg,1,1,1
503.jpg,1,0,0
504.jpg,0,0,0
505.jpg,1,0,0
506.jpg,1,0,0
507.jpg,1,0,0
508.jpg,1,1,1
509.jpg,0,0,0
510.jpg,1,1,1
511.jpg,0,0,0
512.jpg,0,0,0
513.jpg,1,1,1
514.jpg,1,1,1
515.jpg,0,1,0
516.jpg,1,1,0
517.jpg,1,1,0
518.jpg,1,0,0
519.jpg,1,1,1
520.jpg,1,1,1
521.jpg,1,0,0
522.jpg,1,1,1
523.jpg,1,0,0
524.jpg,1,0,0
525.jpg,1,0,0
526.jpg,0,0,0
527.jpg,0,0,0
528.jpg,1,0,0
529.jpg,0,0,0
530.jpg,1,0,0
531.jpg,1,1,1
532.jpg,0,1,0
533.jpg,1,1,1
534.jpg,0,0,0
535.jpg,1,1,1
536.jpg,1,1,1
537.jpg,1,0,0
538.jpg,1,1,1
539.jpg,0,1,0
540.jpg,0,0,0
541.jpg,1,0,0
542.jpg,0,1,0
543.jpg,0,1,0
544.jpg,0,0,0
545.jpg,1,0,0
546.jpg,1,1,1
547.jpg,0,1,0
548.jpg,1,0,0
549.jpg,1,1,0
550.jpg,0,1,0
551.jpg,1,1,1
552.jpg,1,0,0
553.jpg,0,1,0
554.jpg,0,0,0
555.jpg,0,0,0
556.jpg,0,0,0
557.jpg,1,0,0
558.jpg,1,1,1
559.jpg,1,0,0
560.jpg,0,0,0
561.jpg,1,0,0
562.jpg,1,0,0
563.jpg,1,0,0
564.jpg,1,0,0
565.jpg,1,1,1
566.jpg,1,0,0
567.jpg,1,1,1
568.jpg,1,0,0
569.jpg,1,0,0
570.jpg,1,0,0
571.jpg,1,1,1
572.jpg,0,0,0
573.jpg,1,1,0
574.jpg,1,1,1
575.jpg,1,0,0
576.jpg,0,1,0
577.jpg,1,1,1
578.jpg,1,1,1
579.jpg,1,1,1
580.jpg,1,0,0
581.jpg,1,0,0
582.jpg,1,0,0
583.jpg,1,1,0
584.jpg,0,1,0
585.jpg,1,1,1
586.jpg,1,0,0
587.jpg,1,1,1
588.jpg,1,0,0
589.jpg,0,1,0
590.jpg,1,0,0
591.jpg,1,0,0
592.jpg,0,0,0
593.jpg,1,0,0
594.jpg,0,0,0
595.jpg,0,0,0
596.jpg,1,0,0
597.jpg,0,1,0
598.jpg,1,1,1
599.jpg,1,0,0
600.jpg,1,0,0
601.jpg,0,0,0
602.jpg,1,0,0
603.jpg,1,1,1
604.jpg,1,1,1
605.jpg,0,0,0
606.jpg,0,0,0
607.jpg,1,0,0
608.jpg,0,0,0
609.jpg,0,1,0
610.jpg,0,1,0
611.jpg,1,1,1
612.jpg,1,1,1
613.jpg,0,0,0
614.jpg,0,0,0
615.jpg,1,1,1
616.jpg,1,0,0
617.jpg,1,1,0
618.jpg,0,0,0
619.jpg,1,0,0
620.jpg,0,1,0
621.jpg,1,0,0
622.jpg,1,1,1
623.jpg,1,1,1
624.jpg,1,0,0
625.jpg,0,1,0
626.jpg,1,0,0
627.jpg,0,0,0
628.jpg,1,0,0
629.jpg,1,1,1
630.jpg,0,0,0
631.jpg,0,1,0
632.jpg,0,1,0
633.jpg,1,1,0
634.jpg,1,1,0
635.jpg,1,0,0
636.jpg,0,0,0
637.jpg,0,1,0
638.jpg,1,1,0
639.jpg,0,1,0
640.jpg,0,0,0
641.jpg,0,0,0
642.jpg,1,0,0
643.jpg,0,0,0
644.jpg,0,0,0
645.jpg,1,0,0
646.jpg,1,0,0
647.jpg,0,0,0
648.jpg,1,1,1
649.jpg,0,1,0
650.jpg,0,1,0
651.jpg,1,0,0
652.jpg,1,0,0
653.jpg,1,0,0
654.jpg,1,0,0
655.jpg,1,0,0
656.jpg,0,1,0
657.jpg,1,0,0
658.jpg,0,1,0
659.jpg,1,0,0
660.jpg,1,0,0
661.jpg,1,0,0
662.jpg,1,1,0
663.jpg,0,0,0
664.jpg,1,0,0
665.jpg,1,0,0
666.jpg,1,0,0
667.jpg,1,0,0
668.jpg,0,1,0
669.jpg,0,0,0
670.jpg,0,0,0
671.jpg,1,0,0
672.jpg,0,0,0
673.jpg,1,0,0
674.jpg,1,0,0
675.jpg,1,0,0
676.jpg,1,0,0
677.jpg,0,0,0
678.jpg,0,0,0
679.jpg,0,0,0
680.jpg,0,0,0
681.jpg,1,0,0
682.jpg,1,1,1
683.jpg,1,0,0
684.jpg,1,1,1
685.jpg,1,0,0
686.jpg,1,1,1
687.jpg,0,0,0
688.jpg,1,1,1
689.jpg,0,0,0
690.jpg,1,0,0
691.jpg,1,0,0
692.jpg,1,0,0
693.jpg,1,1,1
694.jpg,1,0,0
695.jpg,0,0,0
696.jpg,1,0,0
697.jpg,1,0,0
698.jpg,0,1,0
699.jpg,1,0,0
700.jpg,1,0,0
701.jpg,0,1,0
702.jpg,1,0,0
703.jpg,1,0,0
704.jpg,0,0,0
705.jpg,1,0,0
706.jpg,1,1,1
707.jpg,1,0,0
708.jpg,0,1,0
709.jpg,0,1,0
710.jpg,1,0,0
711.jpg,1,0,0
712.jpg,1,1,1
713.jpg,0,0,0
714.jpg,1,0,0
715.jpg,1,0,0
716.jpg,1,1,1
717.jpg,1,1,1
718.jpg,0,0,0
719.jpg,1,1,1
720.jpg,1,1,1
721.jpg,0,0,0
722.jpg,1,1,0
723.jpg,0,1,0
724.jpg,1,0,0
725.jpg,0,1,0
726.jpg,0,1,0
727.jpg,1,0,0
728.jpg,1,0,0
729.jpg,0,0,0
730.jpg,1,0,0
731.jpg,1,1,1
732.jpg,1,1,1
733.jpg,0,0,0
734.jpg,1,0,0
735.jpg,1,1,1
736.jpg,0,0,0
737.jpg,0,0,0
738.jpg,1,1,1
739.jpg,1,1,1
740.jpg,1,1,1
741.jpg,1,1,1
742.jpg,1,1,0
743.jpg,1,1,0
744.jpg,1,1,1
745.jpg,1,0,0
746.jpg,1,1,1
747.jpg,1,0,0
748.jpg,1,1,0
749.jpg,1,0,0
750.jpg,1,1,0
751.jpg,0,1,0
752.jpg,0,0,0
753.jpg,1,0,0
754.jpg,1,0,0
755.jpg,0,0,0
756.jpg,1,0,0
757.jpg,0,1,0
758.jpg,0,0,0
759.jpg,1,1,1
760.jpg,1,0,0
761.jpg,1,0,0
762.jpg,0,0,0
763.jpg,1,1,0
764.jpg,0,1,0
765.jpg,1,1,1
766.jpg,1,0,0
767.jpg,1,1,0
768.jpg,1,1,1
769.jpg,1,1,0
770.jpg,1,0,0
771.jpg,1,1,1
772.jpg,0,0,0
773.jpg,1,1,1
774.jpg,1,0,0
775.jpg,1,0,0
776.jpg,1,0,0
777.jpg,1,0,0
778.jpg,1,1,1
779.jpg,0,0,0
780.jpg,0,0,0
781.jpg,0,1,0
782.jpg,0,1,0
783.jpg,1,0,0
784.jpg,1,1,1
785.jpg,0,1,0
786.jpg,0,0,0
787.jpg,1,0,0
788.jpg,0,0,0
789.jpg,1,1,1
790.jpg,0,1,0
791.jpg,1,0,0
792.jpg,0,0,0
793.jpg,0,0,0
794.jpg,1,1,0
795.jpg,1,0,0
796.jpg,1,0,0
797.jpg,0,0,0
798.jpg,1,0,0
799.jpg,1,1,1
800.jpg,1,0,0
801.jpg,0,0,0
802.jpg,1,0,0
803.jpg,1,0,0
804.jpg,1,0,0
805.jpg,1,1,1
806.jpg,1,1,0
807.jpg,1,0,0
808.jpg,0,0,0
809.jpg,0,0,0
810.jpg,1,1,1
811.jpg,1,0,0
812.jpg,0,0,0
813.jpg,1,1,1
814.jpg,0,0,0
815.jpg,1,1,1
816.jpg,0,1,0
817.jpg,1,0,0
818.jpg,1,0,0
819.jpg,1,0,0
820.jpg,1,0,0
821.jpg,0,0,0
822.jpg,0,0,0
823.jpg,1,0,0
824.jpg,1,1,1
825.jpg,1,1,0
826.jpg,1,1,1
827.jpg,1,1,0
828.jpg,1,1,1
829.jpg,1,0,0
830.jpg,0,0,0
831.jpg,1,0,0
832.jpg,0,0,0
833.jpg,1,1,1
834.jpg,0,0,0
835.jpg,1,1,1
836.jpg,0,0,0
837.jpg,1,1,1
838.jpg,1,1,1
839.jpg,1,0,0
840.jpg,1,0,0
841.jpg,1,1,1
